New_Conversation,Tweet_ID,full_text
11853,1148447688192430081,@lufthansa My child has a connection to make in a foreign country. THIS IS NOT AN INCONVENIENCE.
585,1242371996303884289,@lufthansa Gilt das auch wenn die bereits stornierten Flüge gestrichen werden ?
3132,1234451384591843328,"Lufthansa Group will continue to suspend flights to mainland China until April 24, 2020 due to the coronavirus Flights to Hong Kong and Seoul are reduced in March and April. Further information: https://t.co/t6Sdeu0Fym"
7938,1191002338468794369,@lufthansa hi can I give a booking reference and see if I've been booked on to a flight with u guys on 8th December
7484,1192453420520591361,"@lufthansa 😲 can you please have someone call me? your response sounds a little ludicrous tbh! how am I to fly with my pets if I can't even inform you guys beforehand, which is required by you to begin with!"
6114,1209081429524701184,@lufthansa Danke schön!!!
1039,1240975061693034496,"1. The Below issue is Not Resolved from @makemytrip  and got a Response saying I should talk to the @lufthansa Airlines and get in writing from them regarding the refund.
2. I am not able to see details on the @makemy
website. PFA for reference.  @tourismgoi @MEAIndia https://t.co/u1wUfbMyUp"
7781,1192063666041978880,"Dear @lufthansa - if you cancel a flight without reason, I should be able to get a refund no matter if part of the trip was already conpleted or not. And the refund should not take 6-8 weeks. Let’s be better to your customers. 🙏🏻🇩🇪"
680,1242097655213416448,"@AlistairHayes The lines are active, but connectivity issues may occur due to the high amount of calls, I'm sorry. Pls try dialing one of the internatuinal numbers (https://t.co/eRWyrKTFGQ) if you have a Lufthansa ticket. I also recommend contacting your federal foreign office. Thank you. /Lua"
12826,1143216739959943169,@lufthansa Thank you 🙏🏻
13690,1136000925028495362,@lufthansa But you are not loyal to your customer
3812,1235253677729828870,@lufthansa I’m changing planes in Frankfurt to Tel Aviv
3393,1236547482227744768,"@AKAlaCrespa Please allow me to answer in English. As I have no access to the reservation system here on Twitter, I recommend that you please call my colleagues in the Service Center: https://t.co/tXXaeaMGbC. /John"
8692,1178561778948726784,@lachlan_gunn Thank you for clarifying. We're unable to decide this here on Twitter. Please fill our feedback form https://t.co/tXXaeaMGbC and my colleagues from Customer Relations will come back to you. /John
1230,1240627019290947586,"@MPirrongelli As the Service Center is currently handling an unusual high volume of incoming requests, Marco, your patience is highly appreciated. My colleagues will answer your call as soon as possible. /Mac"
9461,1170385090205114368,@lufthansa Can you possibly assist with this?
11614,1150768871793659905,@lufthansa Beer has sugar right? 😝
2016,1239292015826755584,@lufthansa @lufthansa *their borders
5569,1216195549780639744,@lufthansa you charged me a checked baggage fee but my luggage was delayed. I've contacted many airports and many Lufthansa helpdesks. With little to information/resolution. Are you able to assist me?
5790,1214154648262791170,"On flights of 150 minutes and longer, we offer the opportunity to purchase exclusive goods from our inflight shopping. #Lufthansa #InflightShopping https://t.co/NLZ10oX7h0"
2523,1238493440159158274,"@orchidgoth @AirCanada @Expedia Hello, for all booking-related queries, please reach out to our Service Center https://t.co/tXXaeaMGbC or use our online tool https://t.co/QYP2LWAeSs. As Social Media team, we do not work with the booking system. My apologies for the inconvenience caused. /Susi"
12893,1142791429628059649,"@lufthansa @adamd4y @Opodo_FR Ok Alex, no help. If I cannot get in contact with Lufthansa over the phone and my issue is I cannot get in contact with Lufthansa over the phone. I have no idea why you keep telling me to call the phone number that is not answering 🤷‍♀️"
3497,1236752363983007744,@lufthansa hello!! My flight is tomorrow and I need to speak w customer service ASAP!!!!  Phone lines are not allowing me to hold. Keeps cutting off. Can you provide an alternate number pls????
