text,translation,Category
"RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…","RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…",flight information requests
Thanks @British_Airways I really needed the extra 2 hour delay on the flight today with everyone sat on board...,Thanks @British_Airways I really needed the extra 2 hour delay on the flight today with everyone sat on board...,flight delays and cancellations
So @AmericanAir @EWRairport lied to an old lady causing her to miss her flight #934 to LHR. She arrived at 6:05am f… https://t.co/Q9Ae8JW0tP,So @AmericanAir @EWRairport lied to an old lady causing her to miss her flight #934 to LHR. She arrived at 6:05am f… https://t.co/Q9Ae8JW0tP,in-flight experience
And had to pay extra £50 because bag wouldnt fit as carry on - at least @easyJet is bigger but shame flight was cancelled yesterday,And had to pay extra £50 because bag wouldnt fit as carry on - at least @easyJet is bigger but shame flight was cancelled yesterday,flight delays and cancellations
"@AmericanAir, I should be on a flight to LA, instead I witnessed an employee in the Wilkes Barre,PA airport who fel… https://t.co/VZzZ3HesvX","@AmericanAir, I should be on a flight to LA, instead I witnessed an employee in the Wilkes Barre,PA airport who fel… https://t.co/VZzZ3HesvX",in-flight experience
Me either !!!!! Everytime I try @AmericanAir delays it 4hours + 😐😢😢,Me either !!!!! Everytime I try @AmericanAir delays it 4hours + 😐😢😢,flight delays and cancellations
@AmericanAir Do business class passengers receive a baggage allowance?,@AmericanAir Do business class passengers receive a baggage allowance?,baggage issues
☀ Prázdninové letenky na Faerské ostrovy k srpnové cestě za přírodními zajímavostmi nabízejí KLM s odletem z Česka… https://t.co/eJjH9r7Cvo,☀ Holiday tickets to the Faroe Islands for an August trip to natural attractions are offered by KLM departing from the Czech Republic… https://t.co/eJjH9r7Cvo,promotion and offer issues
@Ryanair can I add luggage fees to a flight that’s already booked or do I need to pay excess rate at the airport? S… https://t.co/9DkmqtjbHX,@Ryanair can I add luggage fees to a flight that’s already booked or do I need to pay excess rate at the airport? S… https://t.co/9DkmqtjbHX,booking problems
"@ponponpurin @matsun0525 そんな感じ(ﾉ∀｀笑)
とくにKLMの機体が好き😘","@ponponpurin @matsun0525 That's it (ﾉ∀｀lol)
I especially like KLM's planes 😘",special assistance requests
RT @RenaudClaire: Hi @ryanair and what about passengers delayed BEFORE the flight was due to take off to Manchester and are still denied co…,RT @RenaudClaire: Hi @ryanair and what about passengers delayed BEFORE the flight was due to take off to Manchester and are still denied co…,flight delays and cancellations
RT @Claire2day: @Ryanair @RyanairFlights shocking to tell me that I'm not entitled to a refund due to the fact the seats I paid for were ne…,RT @Claire2day: @Ryanair @RyanairFlights shocking to tell me that I'm not entitled to a refund due to the fact the seats I paid for were ne…,seating and boarding challenges
Op dit moment vliegt #KLM vlucht KLM51K richting het zuiden op een hoogte van 4.3km over #Barendrecht.,"Currently, #KLM flight KLM51K is flying south at an altitude of 4.3km over #Barendrecht.",in-flight experience
"RT @renoomokri: Happening Now: Flying to Scandinavia on @British_Airways, and not only are Nollywood movies among the onboard movie options…","RT @renoomokri: Happening Now: Flying to Scandinavia on @British_Airways, and not only are Nollywood movies among the onboard movie options…",seating and boarding challenges
@Pelusitaaaa1 Hoi!  Enkel KLM/Air France-vluchten of vluchten met partners onder een KL vluchtnummer kunnen aan de… https://t.co/qpZ3JXND4B,@Pelusitaaaa1 Hi!  Only KLM/Air France flights or flights with partners under a KL flight number can… https://t.co/qpZ3JXND4B,in-flight experience
Voli per Cagliari ne abbiamo? #ryanair,Do we have flights to Cagliari? #ryanair,in-flight experience
@wineandthelaw We're concerned to hear this. Can you DM some further info about what's happened? Steph https://t.co/L1epyfzysM,@wineandthelaw We're concerned to hear this. Can you DM some further info about what's happened? Steph https://t.co/L1epyfzysM,flight information requests
@AmericanAir @AppleMusic Anyone bopping around in an airplane seat like that needs to get thrown overboard.,@AmericanAir @AppleMusic Anyone bopping around in an airplane seat like that needs to get thrown overboard.,seating and boarding challenges
"@easyJet El mio vuelu sofrió un retrasu d'unos 40 minutos, ensin sabese les causes. Debo diciy que voi siguir escri… https://t.co/ScqUz8NmAT","@easyJet My flight was delayed for about 40 minutes, for unknown reasons. I must say that I will continue writing… https://t.co/ScqUz8NmAT",flight delays and cancellations
RT @Gaia_Mai_: Alla luce delle vicende del tizio sul volo Ryanair e della mia ansia da adesso in poi quando prenderò un aereo chiederò al m…,RT @Gaia_Mai_: In light of the events of the guy on the Ryanair flight and my anxiety from now on when I take a plane I will ask the m…,in-flight experience
RT @magicworlduk: And had to pay extra £50 because bag wouldnt fit as carry on - at least @easyJet is bigger but shame flight was cancelled…,RT @magicworlduk: And had to pay extra £50 because bag wouldnt fit as carry on - at least @easyJet is bigger but shame flight was cancelled…,flight delays and cancellations
@MargrietKuijer I am sorry to hear about this Margriet. If you call baggage service they should be able to provide… https://t.co/tAXA7tBWVg,@MargrietKuijer I am sorry to hear about this Margriet. If you call baggage service they should be able to provide… https://t.co/tAXA7tBWVg,customer service complaints
"@punkhimchan Hi there, QF34 22MAY is estimated to depart at 22.15. Please speak with our airport team for assistance. CB","@punkhimchan Hi there, QF34 22MAY is estimated to depart at 22.15. Please speak with our airport team for assistance. CB",special assistance requests
@DabottIe We recommend you to contact our special assistance team for further help: https://t.co/CQV6x1b4TF Meri,@DabottIe We recommend you to contact our special assistance team for further help: https://t.co/CQV6x1b4TF Meri,special assistance requests
RT @Vinamralongani: @KLM to launch thrice weekly service from Amsterdam to @BLRAirport  using a #B787 according to this news report. As rep…,RT @Vinamralongani: @KLM to launch thrice weekly service from Amsterdam to @BLRAirport  using a #B787 according to this news report. As rep…,customer service complaints
"RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…","RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…",flight information requests
"@AmericanAir flight delays this morning due to mechanical problems. A hassle, but glad to be on the ground while th… https://t.co/sDQsoI1psw","@AmericanAir flight delays this morning due to mechanical problems. A hassle, but glad to be on the ground while th… https://t.co/sDQsoI1psw",flight delays and cancellations
RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,in-flight experience
RT @gargolo: Y como si fuera poco Ryanair cancela 2 rutas para el invierno con Londres y East Midlands. Ya son 7 las rutas internacionales…,"RT @gargolo: And as if that were not enough, Ryanair cancels 2 routes for the winter with London and East Midlands. There are now 7 international routes…",flight delays and cancellations
"RT @AeropuertoUIO: Ecuador tiene a la Luz de América y Francia a la Ciudad de la Luz, muy pronto ambos destinos se conectarán en un vuelo d…","RT @AeropuertoUIO: Ecuador has the Light of America and France has the City of Light, very soon both destinations will connect on a flight from…",in-flight experience
@British_Airways They certainly are! And it was a fab flight as always!,@British_Airways They certainly are! And it was a fab flight as always!,in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-ENY, #4CA8EA) as flight #RYR36LF at 37000 ft heading south east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-ENY, #4CA8EA) as flight #RYR36LF at 37000 ft heading south east bound OTT west of #RyanHQ",in-flight experience
@AmericanAir started out being charged for my luggage when I used my AAdvantage card so it should have been free.… https://t.co/Kk6MpQDaqj,@AmericanAir started out being charged for my luggage when I used my AAdvantage card so it should have been free.… https://t.co/Kk6MpQDaqj,lost luggage
"@peterverhaar KLM altijd vol, en iedereen maar alles in de handbagage proberen te proppen (vanwege de ruimbagage charge).","@peterverhaar KLM is always full, and everyone tries to cram everything into their hand luggage (because of the hold luggage charge).",lost luggage
@FantuttiFruity Send us your booking reference via DM along with as much info as possible so we can take a closer l… https://t.co/i46r8FhS9g,@FantuttiFruity Send us your booking reference via DM along with as much info as possible so we can take a closer l… https://t.co/i46r8FhS9g,booking problems
"RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…","RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…",baggage issues
RT @Gaia_Mai_: Alla luce delle vicende del tizio sul volo Ryanair e della mia ansia da adesso in poi quando prenderò un aereo chiederò al m…,RT @Gaia_Mai_: In light of the events of the guy on the Ryanair flight and my anxiety from now on when I take a plane I will ask the m…,in-flight experience
RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,in-flight experience
@FullMetalMokona Send us your booking reference via DM along with as much info as possible so we can take a closer… https://t.co/7BmelelNOk,@FullMetalMokona Send us your booking reference via DM along with as much info as possible so we can take a closer… https://t.co/7BmelelNOk,booking problems
"@British_Airways Hello Have DM’d booking ref etc! done, thank you x","@British_Airways Hello Have DM’d booking ref etc! done, thank you x",booking problems
@jennyeclair Found #OlderandWider podcast whilst waiting for a delayed easyjet flight. It dealt beautifully with my… https://t.co/DpdE8ArtKP,@jennyeclair Found #OlderandWider podcast whilst waiting for a delayed easyjet flight. It dealt beautifully with my… https://t.co/DpdE8ArtKP,flight delays and cancellations
@avgggva Gracias por volver a escribir Abstrusu. Debo informarle sin embargo que solo podemos responder a los mensa… https://t.co/75za1suTVZ,@avgggva Thanks for rewriting Abstrusu. I must inform you however that we can only respond to messages… https://t.co/75za1suTVZ,flight information requests
"RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…","RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…",baggage issues
Can always count on @AmericanAir to help you miss a wedding #delayed #customerservice #neverfly,Can always count on @AmericanAir to help you miss a wedding #delayed #customerservice #neverfly,flight delays and cancellations
"On arrive fons’ comme Ja', tous high, plane comme Lufthansa
Tellement vif, Osirus Jack man là pour les sous comme un tellement Juif (kippa)","We arrive like Ja', all high, soar like Lufthansa
So lively, Osirus Jack man there for the money like such a Jew (kippah)",refund complaints
@British_Airways I have made a complaint to the CEDR! Price match with @British_Airways doesn’t mean anything! Tweet every day! #aviodba,@British_Airways I have made a complaint to the CEDR! Price match with @British_Airways doesn’t mean anything! Tweet every day! #aviodba,customer service complaints
"@AmericanAir you cancel my 6a flight without resolve?  Can only get me out the next day and dont offer to cover hotel, car, meals, etc? Lame","@AmericanAir you cancel my 6a flight without resolve?  Can only get me out the next day and dont offer to cover hotel, car, meals, etc? Lame",flight delays and cancellations
"RT @fdelatg: -Early 60's. @AmericanAir anunciaba así sus 4 vuelos semanales a #Mexico desde #LA #NY #Chicago y #Dallas ""Mexico is by far yo…","RT @fdelatg: -Early 60's. @AmericanAir thus announced its 4 weekly flights to #Mexico from #LA #NY #Chicago and #Dallas ""Mexico is by far me…",in-flight experience
@twscheung We're disappointed to hear about the poor service you've received in our Concorde Room. Can you DM your… https://t.co/ofKdydrREM,@twscheung We're disappointed to hear about the poor service you've received in our Concorde Room. Can you DM your… https://t.co/ofKdydrREM,customer service complaints
"I love the paranoid American traveler in me, rushing through security, thinking I’m late for my flight that leaves… https://t.co/lsNDg9ak9K","I love the paranoid American traveler in me, rushing through security, thinking I’m late for my flight that leaves… https://t.co/lsNDg9ak9K",in-flight experience
@AmericanAir picked up a basic economy for a family of 4. What are the chances of us getting seated together?,@AmericanAir picked up a basic economy for a family of 4. What are the chances of us getting seated together?,seating and boarding challenges
RT @sunriseblade: Thanks @British_Airways I really needed the extra 2 hour delay on the flight today with everyone sat on board...,RT @sunriseblade: Thanks @British_Airways I really needed the extra 2 hour delay on the flight today with everyone sat on board...,flight delays and cancellations
RT @GilliansDeco: @jennyeclair Found #OlderandWider podcast whilst waiting for a delayed easyjet flight. It dealt beautifully with my anger…,RT @GilliansDeco: @jennyeclair Found #OlderandWider podcast whilst waiting for a delayed easyjet flight. It dealt beautifully with my anger…,flight delays and cancellations
British airways flight review - London to Tallinn @British_Airways https://t.co/U6G2jqTa1a  #flight #review https://t.co/KqS5NmVYhp,British airways flight review - London to Tallinn @British_Airways https://t.co/U6G2jqTa1a  #flight #review https://t.co/KqS5NmVYhp,in-flight experience
"@AnjleeB Hi, may we have DM  the booking reference number to check?Meri https://t.co/lJbiiehJxU","@AnjleeB Hi, may we have DM  the booking reference number to check?Meri https://t.co/lJbiiehJxU",booking problems
"@SLCorbally That's certainly annoying. Unfortunately, we can't do anything with seats as it's now within 24 hours o… https://t.co/55vbKTaqiV","@SLCorbally That's certainly annoying. Unfortunately, we can't do anything with seats as it's now within 24 hours o… https://t.co/55vbKTaqiV",seating and boarding challenges
I will inform KLM about this serious requirement of Pearl related travel 😂 but how to handle this when we all will… https://t.co/tVj3iNRw5h,I will inform KLM about this serious requirement of Pearl related travel 😂 but how to handle this when we all will… https://t.co/tVj3iNRw5h,flight information requests
".@VirginAtlantic ’s Mumbai-Heathrow flight to make available 26 tonnes of #Cargo capacity

#aviation #AvGeek 
https://t.co/lruUK8iPd4",".@VirginAtlantic ’s Mumbai-Heathrow flight to make available 26 tonnes of #Cargo capacity

#aviation #AvGeek 
https://t.co/lruUK8iPd4",in-flight experience
